5/11/2025 17:52:27	Python	Javascript
5/11/2025 17:52:44	Python	Java
5/11/2025 17:55:40	Python	Typescript
5/11/2025 18:54:09	Python	C++
5/11/2025 20:52:31	Java	Tcl
5/11/2025 21:14:13	Python	C
5/11/2025 23:00:16	Python	Assembly
5/11/2025 23:00:33	C++	
5/11/2025 23:23:20	Java	C
5/11/2025 23:23:35	Python	C
5/12/2025 8:53:52	C++	Java
5/12/2025 12:01:51	Rust	JavaScript
5/12/2025 12:30:18	python	c
5/12/2025 12:31:33	Rust	Java
5/12/2025 12:31:43	OCaml	
5/12/2025 12:34:42	Erlang/Elixir	C++
5/12/2025 12:34:56	Haskell	Typescript
5/12/2025 12:35:04	Haskell	javascript
5/12/2025 12:35:26	rust	asm
5/12/2025 12:35:30	c++	Java
5/12/2025 12:35:31	Kotlin	Javascript
5/12/2025 12:35:32	C	Python
5/12/2025 12:35:39	Python	Haskell
5/12/2025 12:36:04	C#	Rust
5/12/2025 12:36:08	C++	Javascript
5/12/2025 12:36:32	Java	Bash
5/12/2025 12:36:59	Go	Typescript
5/12/2025 12:39:30	Python	Javascript
5/12/2025 15:03:58	Haskell	JavaScript
5/12/2025 20:06:25	haskell	C
5/13/2025 12:53:36	python	
5/13/2025 13:30:36	Python	SAS
5/13/2025 15:01:20	Rust	MATLAB
5/13/2025 16:08:40	c++	javascript
5/13/2025 22:14:55	C	juypter notebook (in python)
5/13/2025 22:47:52	Python	Haskell
5/14/2025 2:25:03	C	JavaScript
5/14/2025 10:56:49	Rust	MATLAB
5/14/2025 12:29:01	Python	Assembly
5/14/2025 12:29:30	python	assembly
